gdańsk_główny,0.011
opuszczony_hotel,0.028
super_kot,0.065
stary_targ,0.021
tatry_wysokie,0.025
kraków_główny,0.011
wrocław_główny,0.011
aktywny_wypoczynek,-0.011
super_drink,0.078
gruba_kaśka,-0.125
samotne_drzewo,-0.028
rynek_główny,0.011
wielkie_oczy,0.734
cerkiew_greckokatolicka,0.098
zły_pies,-0.643
opuszczony_kościół,0.028
super_bikini,0.115
wspólny_mianownik,-0.081
martwa_cisza,-0.073
licheń_stary,0.043
błędne_skały,-0.621
złota_jesień,0.123
Łazienki_królewskie,0.029
kamienna_góra,0.008
stary_szpital,0.066
wszystkich_swietych,0.035
słoneczny_dzień,0.259
wszystkich_Świętych,0.035
stary_samochód,0.021
Światowego_dziedzictwa,-0.141
stary_dom,0.021
młoda_kobieta,0.009
ukryty_wymiar,-0.138
stara_chata,0.021
super_cena,0.285
piękna_kobieta,0.238
stary_poznań,0.021
stary_cmentarz,0.021
agencja_interaktywna,0.031
nowoczesna_architektura,0.018
wsi_spokojna,0.031
długi_czas,-0.584
super_transport,0.047
piękne_wnętrze,0.238
stary_budynek,0.021
kościół_ewangelicki,0.018
złota_godzina,0.165
gruby_pies,0.197
samo_zdrowie,0.130
stary_kleparz,0.021
sam_las,-0.010
czysta_woda,0.120
duża_scena,0.054
okrągły_kościół,0.024
stare_groby,0.021
martwe_drzewa,-0.105
wielka_góra,0.115
martwe_drzewo,-0.105
Święty_krzyż,0.125
związki_zawodowe,0.006
super_graffiti,0.065
same_fusy,-0.023
wielka_orkiestra,0.115
stare_kamienice,0.021
krzywy_komin,-0.105
młoda_mama,0.009
ostatni_rejs,-0.034
tajna_siedziba,0.006
sucha_trawa,-0.057
piękne_oczy,0.665
